id,title,release_year,rating,genre
1,Bucharest,2016,4.34,WESTERN
2,Manama,2021,5.46,ACTION
3,Faisalabad,2013,10.9,WESTERN
4,Caracas,2012,9.24,CRIME
5,London,2021,6.09,ACTION
6,Sacramento,2012,7.8,WESTERN
7,Ciudad del Este,2017,6.36,WESTERN
8,Riga,2019,4.67,WESTERN
9,Calgary,2021,9.44,DRAMA
10,Jeddah,2012,5.22,ACTION
11,Bratislava,2013,4.2,ACTION
12,Dunedin,2013,5.32,ACTION
13,İzmir,2012,3.63,DRAMA
14,Leeds,2015,5.49,WESTERN
15,Yakutsk,2019,8.64,WESTERN
16,Gold Coast,2022,8.67,ACTION
17,Xi'an,2019,2.65,DRAMA
18,Prague,2021,8.86,CRIME
19,Bujumbura,2013,10.41,DRAMA
20,Mexico City,2012,6.94,CRIME
21,Mendoza,2017,6.59,DRAMA
22,Singapore,2019,6.83,DRAMA
23,Reykjavík,2019,3.93,DRAMA
24,Düsseldorf,2012,8.02,WESTERN
25,Kota Kinabalu,2015,10.99,CRIME
26,Maceió,2014,6.14,DRAMA
27,Manaus,2017,8.6,ACTION
28,Peshawar,2021,8.98,ACTION
29,Denpasar,2020,5.08,DRAMA
30,Toronto,2014,3.55,WESTERN
31,Kobe,2015,7.43,DRAMA
32,Gaziantep,2018,2.7,WESTERN
33,Malacca Town,2016,9.14,CRIME
34,Antofagasta,2014,3.37,DRAMA
35,Iqaluit,2014,10.85,DRAMA
36,Durango,2015,1.23,CRIME
37,Samara,2015,4.64,WESTERN
38,Sitka,2019,3.09,DRAMA
39,City of Halifax,2016,3.6,CRIME
40,Nukulaelae,2013,5.07,ACTION
41,Kyoto,2019,9.1,CRIME
42,Semarang,2018,2.3,CRIME
43,Dammam,2022,1.7,WESTERN
44,Bangkok,2021,2.12,WESTERN
45,Xining,2019,3.71,CRIME
46,Thiès,2016,10.5,CRIME
47,Macapá,2019,9.13,WESTERN
48,Toronto,2014,10.44,WESTERN
49,Mandurah,2022,1.82,WESTERN
50,Valletta,2020,8.4,DRAMA
51,Gaborone,2022,6.43,ACTION
52,Salt Lake City,2015,2.47,DRAMA
53,Suva,2022,8.86,ACTION
54,Raleigh,2022,7,WESTERN
55,Kingstown,2021,6.03,ACTION
56,Jeddah,2020,9.95,WESTERN
57,Antofagasta,2018,6.71,CRIME
58,Riga,2018,6.88,ACTION
59,Tskhinvali,2021,10.93,DRAMA
60,Murmansk,2013,1.3,DRAMA
61,Andorra la Vella,2012,5.46,CRIME
62,St. Louis,2019,1.37,ACTION
63,Guatemala City,2014,9.29,ACTION
64,Whitehorse,2020,3.95,DRAMA
65,Forked River,2015,2.52,DRAMA
66,Macapá,2022,5.88,WESTERN
67,Palma,2019,1.97,DRAMA
68,Managua,2018,6.02,ACTION
69,Petropavlovsk-Kamchatsky,2012,9.88,DRAMA
70,Melbourne,2017,6.43,WESTERN
71,Ahmedabad,2014,4.27,CRIME
72,Charlottetown,2016,1.85,DRAMA
73,Incheon,2016,5.87,CRIME
74,Shenyang,2014,6.61,WESTERN
75,Managua,2020,8.98,CRIME
76,Pago Pago,2015,1.09,DRAMA
77,Yaoundé,2018,4.59,WESTERN
78,Anadyr (town),2014,9.56,WESTERN
79,La Serena,2018,10.34,CRIME
80,Huế,2013,10.23,DRAMA
81,Hanover,2020,8.83,ACTION
82,Adelaide,2017,3.23,DRAMA
83,Weno,2012,7.18,DRAMA
